linkAxis,linkTitle,lienTitre,linkAuthor,linkYear,linkLink,lienType,linkType,linkDescription,lienDescription,linkImage,localAxisID
Decolonisation,Anti-Racisme resources for white people,titre francais,"compiled by Sarah Sophie Flicker, Alyssa Klein",05-2020,https://docs.google.com/document/d/1BRlF2_zhNe86SGgHa6-VlBO-QgirITwCTugSfKie5Fs/edit,null,Google Doc,"This document is intended to serve as a resource to white people and parents to deepen our anti-racism work. If you haven’t engaged in anti-racism work in the past, start now. Feel free to circulate this document on social media and with your friends, family, and colleagues.",description en francais ici,null,1
Decolonisation,A Guide to Allyship,titre francais,Black Lives Matter & Why “All Cops are Bastards” Collective,06-2020,https://docs.google.com/document/u/1/d/1CIfMQED_B444Y-K8kAqUOgq8xrSFdSrjFBRnyK6wmz4/mobilebasic?urp=gmail_link,null,Google Doc,Document about the BLM movement and resources,description en francais ici,null,1
Ecoresponsability,title english,Un Site web frugal,Sarah Garcin,null,https://site.sarahgarcin.com/web-frugal/,null,Website,eng description,Méthodes et techniques pour réduire la consommation d'énergie d'un site web,assets/images/flower.jpg,2
